1,12, TN, Outside,4340,4393, TP,47
13,24, TN, Left Side,20,50, FP,32
25,36, TP, Inside,20,50, FN,0
37,48, TP, Inside,20,50, TN,287
49,60, TN, Right Side,20,50,,
61,72, TN, Outside,4340,4393,,
73,84, TP, Left Side,74,89,,
85,96, FP, Right Side,74,89,,
97,108, TN, Outside,4340,4393,,
109,120, TN, Left Side,117,200,,
121,132, TP, Inside,117,200,,
133,144, TP, Inside,117,200,,
145,156, TP, Inside,117,200,,
157,168, TP, Inside,117,200,,
169,180, TP, Inside,117,200,,
181,192, TP, Inside,117,200,,
193,204, FP, Right Side,117,200,,
205,216, TN, Outside,4340,4393,,
217,228, TN, Outside,4340,4393,,
229,240, TP, Left Side,230,243,,
241,252, TN, Right Side,230,243,,
253,264, TN, Outside,4340,4393,,
265,276, FP, Left Side,270,296,,
277,288, TP, Inside,270,296,,
289,300, FP, Right Side,270,296,,
301,312, TN, Outside,4340,4393,,
313,324, TN, Outside,4340,4393,,
325,336, TN, Outside,4340,4393,,
337,348, TN, Outside,4340,4393,,
349,360, TN, Outside,4340,4393,,
361,372, TP, Inside,361,372,,
373,384, TN, Outside,4340,4393,,
385,396, TN, Outside,4340,4393,,
397,408, TN, Outside,4340,4393,,
409,420, TN, Left Side,415,426,,
421,432, FP, Right Side,415,426,,
433,444, TN, Outside,4340,4393,,
445,456, TN, Outside,4340,4393,,
457,468, TP, Left Side,460,479,,
469,480, TP, Right Side,460,479,,
481,492, TN, Outside,4340,4393,,
493,504, TN, Outside,4340,4393,,
505,516, TN, Outside,4340,4393,,
517,528, FP, Left Side,522,539,,
529,540, TP, Right Side,522,539,,
541,552, TN, Outside,4340,4393,,
553,564, TN, Outside,4340,4393,,
565,576, TN, Outside,4340,4393,,
577,588, TN, Outside,4340,4393,,
589,600, TN, Outside,4340,4393,,
601,612, TN, Outside,4340,4393,,
613,624, TN, Left Side,622,638,,
625,636, TP, Inside,622,638,,
637,648, TN, Right Side,622,638,,
649,660, TN, Outside,4340,4393,,
661,672, TP, Left Side,663,674,,
673,684, TN, Right Side,663,674,,
673,684, TN, Left Side,680,691,,
685,696, TN, Right Side,680,691,,
697,708, TN, Outside,4340,4393,,
709,720, TN, Outside,4340,4393,,
721,732, TN, Outside,4340,4393,,
733,744, TN, Outside,4340,4393,,
745,756, TN, Outside,4340,4393,,
757,768, TN, Outside,4340,4393,,
769,780, TN, Outside,4340,4393,,
781,792, TN, Outside,4340,4393,,
793,804, TN, Left Side,798,809,,
805,816, FP, Right Side,798,809,,
817,828, TN, Outside,4340,4393,,
829,840, TN, Outside,4340,4393,,
841,852, TN, Outside,4340,4393,,
853,864, TN, Outside,4340,4393,,
865,876, TN, Left Side,870,881,,
877,888, TN, Right Side,870,881,,
889,900, TN, Outside,4340,4393,,
901,912, TN, Outside,4340,4393,,
913,924, TN, Outside,4340,4393,,
925,936, TN, Outside,4340,4393,,
937,948, TN, Outside,4340,4393,,
949,960, TN, Outside,4340,4393,,
961,972, TN, Outside,4340,4393,,
973,984, TN, Outside,4340,4393,,
985,996, TN, Outside,4340,4393,,
997,1008, TN, Outside,4340,4393,,
1009,1020, TN, Outside,4340,4393,,
1021,1032, FP, Left Side,1025,1049,,
1033,1044, TP, Inside,1025,1049,,
1045,1056, FP, Right Side,1025,1049,,
1057,1068, TN, Outside,4340,4393,,
1069,1080, TN, Outside,4340,4393,,
1081,1092, TN, Outside,4340,4393,,
1093,1104, TN, Outside,4340,4393,,
1105,1116, TN, Outside,4340,4393,,
1117,1128, TN, Left Side,1125,1136,,
1129,1140, FP, Right Side,1125,1136,,
1141,1152, TN, Outside,4340,4393,,
1153,1164, TN, Outside,4340,4393,,
1165,1176, TN, Outside,4340,4393,,
1177,1188, TN, Outside,4340,4393,,
1189,1200, TN, Outside,4340,4393,,
1201,1212, TN, Outside,4340,4393,,
1213,1224, TP, Inside,1213,1224,,
1225,1236, FP, Outside,4340,4393,,
1237,1248, TN, Outside,4340,4393,,
1249,1260, TN, Outside,4340,4393,,
1261,1272, TN, Outside,4340,4393,,
1273,1284, TN, Outside,4340,4393,,
1285,1296, TN, Outside,4340,4393,,
1297,1308, TN, Outside,4340,4393,,
1309,1320, TN, Outside,4340,4393,,
1321,1332, TN, Outside,4340,4393,,
1333,1344, TN, Outside,4340,4393,,
1345,1356, FP, Left Side,1351,1362,,
1357,1368, FP, Right Side,1351,1362,,
1369,1380, TN, Outside,4340,4393,,
1381,1392, TN, Outside,4340,4393,,
1393,1404, TN, Outside,4340,4393,,
1405,1416, TN, Outside,4340,4393,,
1417,1428, FP, Left Side,1422,1433,,
1429,1440, TN, Right Side,1422,1433,,
1441,1452, TN, Outside,4340,4393,,
1453,1464, TN, Outside,4340,4393,,
1465,1476, TN, Outside,4340,4393,,
1477,1488, FP, Outside,4340,4393,,
1489,1500, FP, Outside,4340,4393,,
1501,1512, TN, Outside,4340,4393,,
1513,1524, TN, Outside,4340,4393,,
1525,1536, TN, Outside,4340,4393,,
1537,1548, TN, Outside,4340,4393,,
1549,1560, TN, Left Side,1555,1580,,
1561,1572, TP, Inside,1555,1580,,
1585,1596, TN, Outside,4340,4393,,
1597,1608, TN, Outside,4340,4393,,
1609,1620, TN, Outside,4340,4393,,
1621,1632, TN, Outside,4340,4393,,
1633,1644, TN, Outside,4340,4393,,
1645,1656, TN, Outside,4340,4393,,
1657,1668, TN, Outside,4340,4393,,
1669,1680, TN, Outside,4340,4393,,
1681,1692, FP, Left Side,1688,1708,,
1693,1704, TP, Inside,1688,1708,,
1705,1716, FP, Right Side,1688,1708,,
1717,1728, TN, Outside,4340,4393,,
1729,1740, TN, Outside,4340,4393,,
1741,1752, TN, Outside,4340,4393,,
1753,1764, TN, Outside,4340,4393,,
1765,1776, TN, Outside,4340,4393,,
1777,1788, TN, Outside,4340,4393,,
1789,1800, TN, Outside,4340,4393,,
1801,1812, TN, Outside,4340,4393,,
1813,1824, TN, Outside,4340,4393,,
1825,1836, TN, Outside,4340,4393,,
1837,1848, TN, Outside,4340,4393,,
