subject,folder,detection,onset,apex,offset,raw_path
s15,anger1_1,1,557,572,608,15_0401girlcrashing
s15,anger1_2,2,2854,2862,2871,15_0401girlcrashing
s15,anger2_1,1,2155,2163,0,15_0402beatingpregnantwoman
s15,anger2_2,2,3363,3371,3383,15_0402beatingpregnantwoman
s15,anger2_3,3,3380,3386,3407,15_0402beatingpregnantwoman
s15,anger2_4,4,3738,3757,3822,15_0402beatingpregnantwoman
s15,anger2_5,5,3761,3771,3779,15_0402beatingpregnantwoman
s15,disgust1_1,1,1195,1218,1266,15_0101disgustingteeth
s15,disgust2_1,1,396,401,430,15_0102eatingworms
s15,disgust2_2,2,407,414,435,15_0102eatingworms
s15,disgust2_3,3,699,703,707,15_0102eatingworms
s15,disgust2_4,4,781,790,802,15_0102eatingworms
s15,happy1_1,1,138,142,148,15_0502funnyerrors
s15,happy1_2,2,178,190,0,15_0502funnyerrors
s15,happy1_3,3,2203,2218,2227,15_0502funnyerrors
s15,happy2_1,1,2457,2476,2510,15_0503unnyfarting
s15,happy3_1,1,1403,1412,1436,15_0505funnyinnovations
s16,anger1_1,1,554,569,617,16_0401girlcrashing
s16,anger1_2,2,1656,1675,1700,16_0401girlcrashing
s16,anger1_3,3,1741,1758,1780,16_0401girlcrashing
s16,anger1_4,4,3580,3589,3599,16_0401girlcrashing
s16,anger2_1,1,415,421,457,16_0402beatingpregnantwoman
s16,anger2_2,2,1382,1391,1416,16_0402beatingpregnantwoman
s16,anger2_3,3,1540,1555,1577,16_0402beatingpregnantwoman
s16,anger2_4,4,1865,1881,1911,16_0402beatingpregnantwoman
s16,anger2_5,5,2149,2162,2210,16_0402beatingpregnantwoman
s16,anger2_6,6,2712,2724,2752,16_0402beatingpregnantwoman
s16,anger2_7,7,2905,2912,2937,16_0402beatingpregnantwoman
s16,anger2_8,8,3409,3421,3461,16_0402beatingpregnantwoman
s16,anger2_9,9,3932,3943,0,16_0402beatingpregnantwoman
s16,disgust1_1,1,167,184,199,16_0101disgustingteeth
s16,disgust1_2,2,333,346,0,16_0101disgustingteeth
s16,disgust1_3,3,552,559,565,16_0101disgustingteeth
s16,disgust1_4,4,697,715,725,16_0101disgustingteeth
s16,disgust1_5,5,915,942,965,16_0101disgustingteeth
s16,disgust1_6,6,1228,1237,1284,16_0101disgustingteeth
s16,disgust1_7,7,1792,1799,1836,16_0101disgustingteeth
s16,disgust1_8,8,1794,1808,1842,16_0101disgustingteeth
s16,disgust2_1,1,187,214,240,16_0102eatingworms
s16,disgust2_2,2,173,186,248,16_0102eatingworms
s16,disgust2_3,3,270,275,278,16_0102eatingworms
s16,disgust2_4,4,317,354,400,16_0102eatingworms
s16,disgust2_5,5,322,334,356,16_0102eatingworms
s16,disgust2_6,6,322,334,359,16_0102eatingworms
s16,disgust2_7,7,420,430,445,16_0102eatingworms
s16,disgust2_8,8,526,535,543,16_0102eatingworms
s16,disgust2_9,9,720,727,741,16_0102eatingworms
s16,happy1_1,1,323,329,334,16_0502funnyerrors
s16,happy1_2,2,338,347,373,16_0502funnyerrors
s16,happy1_3,3,850,880,894,16_0502funnyerrors
s16,happy1_4,4,1098,1114,1148,16_0502funnyerrors
s16,happy1_5,5,1405,1415,1441,16_0502funnyerrors
s16,happy1_6,6,1470,1480,1523,16_0502funnyerrors
s16,happy1_7,7,2193,2207,2220,16_0502funnyerrors
s16,happy3_1,1,68,77,89,16_0505funnyinnovations
s16,happy3_2,2,396,400,407,16_0505funnyinnovations
s16,happy3_3,3,991,997,0,16_0505funnyinnovations
s16,happy3_4,4,1135,1148,1205,16_0505funnyinnovations
s16,happy3_5,5,1352,1358,1388,16_0505funnyinnovations
s16,happy3_6,6,1595,1604,1615,16_0505funnyinnovations
s16,happy3_7,7,1610,1625,1678,16_0505funnyinnovations
s16,happy3_8,8,1695,1703,1710,16_0505funnyinnovations
s16,happy3_9,9,1880,1886,1895,16_0505funnyinnovations
s16,happy3_10,0,1902,1915,1952,16_0505funnyinnovations
s16,happy3_11,1,2239,2261,2295,16_0505funnyinnovations
s16,happy4_1,1,844,858,870,16_0507climbingthewall
s16,happy4_2,2,1571,1584,1633,16_0507climbingthewall
s16,happy4_3,3,1958,1961,1968,16_0507climbingthewall
s16,happy4_4,4,2285,2291,2295,16_0507climbingthewall
s16,happy4_5,5,2338,2344,2411,16_0507climbingthewall
s16,happy4_6,6,3169,3180,3215,16_0507climbingthewall
s19,disgust2_1,1,822,841,865,19_0102eatingworms
s19,disgust2_2,2,887,897,926,19_0102eatingworms
s19,anger2_1,1,1927,1933,1942,19_0402beatingpregnantwoman
s19,happy3_1,1,1755,1771,1808,19_0505funnyinnovations
s19,happy4_1,1,2977,2986,3039,19_0507climbingthewall
s20,happy1_1,1,981,993,999,20_0502funnyerrors
s20,happy1_2,2,1125,1137,1161,20_0502funnyerrors
s20,happy1_3,3,1403,1432,1499,20_0502funnyerrors
s21,anger1_1,1,3379,3386,3411,21_0401girlcrashing
s21,disgust1_1,1,169,177,191,21_0101disgustingteeth
s22,anger2_1,1,3246,3270,0,22_0402beatingpregnantwoman
s22,disgust1_1,1,366,376,393,22_0101disgustingteeth
s22,disgust1_2,2,380,391,0,22_0101disgustingteeth
s22,disgust1_3,3,510,525,0,22_0101disgustingteeth
s22,disgust1_4,4,1562,1571,1580,22_0101disgustingteeth
s22,disgust1_5,5,1573,1578,0,22_0101disgustingteeth
s22,disgust1_6,6,1645,1650,0,22_0101disgustingteeth
s22,disgust1_7,7,1706,1716,1728,22_0101disgustingteeth
s22,disgust1_8,8,1752,1760,1768,22_0101disgustingteeth
s22,disgust1_9,9,1822,1840,1855,22_0101disgustingteeth
s22,disgust1_10,0,1915,1927,1941,22_0101disgustingteeth
s22,disgust2_1,1,301,316,320,22_0102eatingworms
s22,disgust2_2,2,321,337,0,22_0102eatingworms
s22,disgust2_3,3,904,912,0,22_0102eatingworms
s22,happy2_1,1,2758,2774,0,22_0503unnyfarting
s22,happy5_1,1,81,115,0,22_0508funnydunkey
s23,anger2_1,1,3685,3701,3719,23_0402beatingpregnantwoman
s23,anger2_2,2,3799,3811,3818,23_0402beatingpregnantwoman
s23,anger2_3,3,3879,3891,3903,23_0402beatingpregnantwoman
s23,disgust2_1,1,331,335,346,23_0102eatingworms
s23,disgust2_2,2,526,530,540,23_0102eatingworms
s23,disgust2_3,3,727,732,740,23_0102eatingworms
s23,disgust2_4,4,913,925,940,23_0102eatingworms
s23,disgust2_5,5,997,1002,1015,23_0102eatingworms
s23,happy1_1,1,1381,1413,1460,23_0502funnyerrors
s23,happy1_2,2,1937,1947,1963,23_0502funnyerrors
s23,happy4_1,1,2744,2753,2764,23_0507climbingthewall
s24,anger1_1,1,355,362,385,24_0401girlcrashing
s24,anger1_2,2,434,441,450,24_0401girlcrashing
s24,anger1_3,3,608,615,621,24_0401girlcrashing
s24,anger1_4,4,963,967,977,24_0401girlcrashing
s24,anger1_5,5,1262,1269,0,24_0401girlcrashing
