Folder,Image,CDF,MaxCDF,MeanCDF,Onset,Offset,Detected,Status,,
EP02_01f,img65.jpg,44.64676294,44.64676294,16.23498796,46,86,65,TRUE,,
EP03_02,img161.jpg,25.43518675,25.43518675,10.2743601,131,161,161,TRUE,,
EP04_02,img97.jpg,19.24884211,19.24884211,7.856208755,21,76,97,FALSE,,
EP04_04,img97.jpg,19.24884211,19.24884211,6.184668817,23,66,97,FALSE,,
EP19_01,img65.jpg,0,0,0,26,66,65,FALSE,,
EP19_03f,img257.jpg,78.70390899,78.70390899,20.39698018,81,161,257,FALSE,,
EP19_05f,img321.jpg,99.47571491,99.47571491,22.07114653,396,446,321,FALSE,,
EP19_06f,img129.jpg,56.90111017,56.90111017,17.00776092,36,161,129,TRUE,,
EP01_11f,img65.jpg,2.357057542,2.357057542,2.357057542,46,96,65,TRUE,,
EP02_04f,img65.jpg,0,0,0,31,141,65,FALSE,,
EP03_02f,img65.jpg,0,0,0,16,136,65,FALSE,,
EP06_01f,img65.jpg,103.6645991,103.6645991,51.83229954,56,155,65,TRUE,,
EP08_04,img97.jpg,34.33482846,34.33482846,17.16741423,16,106,97,TRUE,,
EP09_01,img65.jpg,24.40459946,24.40459946,6.375822264,26,125,65,TRUE,,
EP09_06f,img97.jpg,40.45783222,40.45783222,14.63613883,11,151,97,TRUE,,
EP11_01,img65.jpg,68.62399054,68.62399054,13.55003104,16,106,65,TRUE,,
EP13_04,img65.jpg,0,0,0,21,76,65,FALSE,,
EP14_01,img97.jpg,83.61798077,83.61798077,27.87266026,81,126,97,TRUE,,
EP15_04,img97.jpg,9.342499099,9.342499099,7.853236246,26,96,97,FALSE,,
EP07_04,img65.jpg,30.76711881,30.76711881,30.76711881,21,106,65,TRUE,,
EP09_03,img65.jpg,0,0,0,61,121,65,FALSE,,
EP18_06,img65.jpg,8.566350844,8.566350844,8.566350844,26,126,65,TRUE,,
EP19_08,img225.jpg,82.05212961,82.05212961,23.49837826,101,141,225,FALSE,,
EP12_01f,img641.jpg,65.7624003,65.7624003,16.24459727,261,321,641,FALSE,,
EP12_02f,img641.jpg,56.7823323,56.7823323,17.27064128,356,406,641,FALSE,,
EP13_02f,img65.jpg,0,0,0,51,111,65,FALSE,,
EP13_06f,img161.jpg,31.70802602,31.70802602,7.927006506,71,161,161,TRUE,,
EP19_01f,img225.jpg,67.58747803,67.58747803,11.20469156,191,226,225,TRUE,,
EP02_07,img65.jpg,0,0,0,36,101,65,FALSE,,
EP03_01,img129.jpg,67.94494291,67.94494291,22.6483143,41,101,129,FALSE,,
EP03_06,img97.jpg,19.79481082,19.79481082,15.02642256,33,83,97,FALSE,,
EP03_07,img65.jpg,12.84906289,12.84906289,12.84906289,41,83,65,TRUE,,
EP05_03,img97.jpg,17.32578721,17.32578721,5.44418296,51,141,97,TRUE,,
EP05_09,img161.jpg,22.16038122,22.16038122,12.28426735,49,136,161,FALSE,,
EP06_10,img97.jpg,84.24468932,84.24468932,24.89416761,85,136,97,TRUE,,
EP07_01,img65.jpg,56.53581438,56.53581438,11.79542323,49,106,65,TRUE,,
