Subject,Folder,Image,CDF,MaxCDF,MeanCDF,OnsetGT,OffsetGT,Onset,Offset,Total,Tau,Threshold,Spotted,SP_onset,SP_offset,Evaluation
sub01,EP02_01f,65,44.64676294,44.64676294,16.23498796,46,86,30,102,290,0,16.23498796,65,33,97,TP
sub01,EP02_01f,97,21.61483119,44.64676294,16.23498796,46,86,30,102,290,0,16.23498796,97,65,129,TP
sub01,EP02_01f,129,0,44.64676294,16.23498796,46,86,30,102,290,0,16.23498796,0,,,TN
sub01,EP02_01f,161,0,44.64676294,16.23498796,46,86,30,102,290,0,16.23498796,0,,,TN
sub01,EP02_01f,193,8.251117693,44.64676294,16.23498796,46,86,30,102,290,0,16.23498796,0,,,TN
sub01,EP02_01f,225,22.89721595,44.64676294,16.23498796,46,86,30,102,290,0,16.23498796,225,193,257,FP
sub01,EP03_02,65,0,25.43518675,10.2743601,131,161,115,177,231,0,10.2743601,0,,,TN
sub01,EP03_02,97,0,25.43518675,10.2743601,131,161,115,177,231,0,10.2743601,0,,,TN
sub01,EP03_02,129,15.66225366,25.43518675,10.2743601,131,161,115,177,231,0,10.2743601,129,97,161,TP
sub01,EP03_02,161,25.43518675,25.43518675,10.2743601,131,161,115,177,231,0,10.2743601,161,129,193,TP
sub01,EP04_02,65,0,19.24884211,7.856208755,21,76,5,92,219,0,7.856208755,0,,,TN
sub01,EP04_02,97,19.24884211,19.24884211,7.856208755,21,76,5,92,219,0,7.856208755,97,65,129,FP
sub01,EP04_02,129,4.319784151,19.24884211,7.856208755,21,76,5,92,219,0,7.856208755,0,,,TN
sub01,EP04_04,65,0,19.24884211,6.184668817,23,66,7,82,255,0,6.184668817,0,,,TN
sub01,EP04_04,97,19.24884211,19.24884211,6.184668817,23,66,7,82,255,0,6.184668817,97,65,129,FP
sub01,EP04_04,129,4.319784151,19.24884211,6.184668817,23,66,7,82,255,0,6.184668817,0,,,TN
sub01,EP04_04,161,1.170049004,19.24884211,6.184668817,23,66,7,82,255,0,6.184668817,0,,,TN
sub01,EP19_01,65,0,0,0,26,66,10,82,164,0,0,65,33,97,TP
sub01,EP19_01,97,0,0,0,26,66,10,82,164,0,0,97,65,129,FP
sub01,EP19_03f,65,1.46039069,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,0,,,TN
sub01,EP19_03f,97,0,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,0,,,TN
sub01,EP19_03f,129,34.93493214,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,129,97,161,TP
sub01,EP19_03f,161,41.41654273,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,161,129,193,TP
sub01,EP19_03f,193,0,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,0,,,TN
sub01,EP19_03f,225,0,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,0,,,TN
sub01,EP19_03f,257,78.70390899,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,257,225,289,FP
sub01,EP19_03f,289,0,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,0,,,TN
sub01,EP19_03f,321,27.05704708,78.70390899,20.39698018,81,161,65,177,406,0,20.39698018,321,289,353,FP
sub01,EP19_05f,65,0,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,0,,,TN
sub01,EP19_05f,97,91.29564582,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,97,65,129,FP
sub01,EP19_05f,129,0,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,0,,,TN
sub01,EP19_05f,161,13.81344942,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,0,,,TN
sub01,EP19_05f,193,0,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,0,,,TN
sub01,EP19_05f,225,0,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,0,,,TN
sub01,EP19_05f,257,26.63224604,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,257,225,289,FP
sub01,EP19_05f,289,0,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,0,,,TN
sub01,EP19_05f,321,99.47571491,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,321,289,353,FP
sub01,EP19_05f,353,0,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,0,,,TN
sub01,EP19_05f,385,0,99.47571491,22.07114653,396,446,380,462,579,0,22.07114653,0,,,TN
