Subject,Folder,TrueFrame,FalseFrame,Total
sub01,EP02_01f,40,250,290
sub01,EP03_02,30,201,231
sub01,EP04_02,55,164,219
sub01,EP04_03,25,57,82
sub01,EP04_04,43,212,255
sub01,EP19_01,40,124,164
sub01,EP19_03f,80,326,406
sub01,EP19_05f,50,529,579
sub01,EP19_06f,125,175,300
sub02,EP01_11f,50,95,145
sub02,EP02_04f,110,50,160
sub02,EP03_02f,120,70,190
sub02,EP06_01f,99,83,182
sub02,EP06_02f,75,45,120
sub02,EP08_04,90,73,163
sub02,EP09_01,99,144,243
sub02,EP09_06f,140,227,367
sub02,EP09_10,40,33,73
sub02,EP11_01,90,283,373
sub02,EP13_04,55,88,143
sub02,EP14_01,45,155,200
sub02,EP15_04,70,97,167
sub03,EP01_2,40,67,107
sub03,EP07_03,60,28,88
sub03,EP07_04,85,51,136
sub03,EP08_1,80,25,105
sub03,EP09_03,60,90,150
sub03,EP18_06,100,40,140
sub03,EP19_08,40,251,291
sub04,EP12_01f,60,713,773
sub04,EP12_02f,50,693,743
sub04,EP13_02f,60,123,183
sub04,EP13_06f,90,146,236
sub04,EP19_01f,35,335,370
sub05,EP02_07,65,75,140
sub05,EP03_01,60,158,218
sub05,EP03_06,50,123,173
sub05,EP03_07,42,116,158
sub05,EP04_05,50,19,69
sub05,EP04_06,85,20,105
sub05,EP05_03,90,158,248
sub05,EP05_09,87,147,234
sub05,EP06_10,51,249,300
sub05,EP07_01,57,243,300
sub05,EP08_05,65,72,137
sub05,EP09_05f,54,370,424
sub05,EP12_03f,50,43,93
sub05,EP12_06,75,76,151
sub05,EP13_04f,75,76,151
sub05,EP13_06,60,61,121
sub05,EP16_03f,99,84,183
sub05,EP16_04f,40,369,409
sub05,EP19_03,52,99,151
sub06,EP01_01,55,181,236
sub06,EP02_31,49,227,276
sub06,EP10_08,45,276,321
sub06,EP15_02,50,87,137
sub06,EP16_05,57,171,228
sub07,EP01_01,77,157,234
sub07,EP03_04,65,41,106
sub07,EP06_01,53,38,91
sub07,EP06_02_01,80,33,113
sub07,EP06_02_02,55,78,133
sub07,EP08_02,50,219,269
sub07,EP15_01,55,145,200
sub07,EP18_01,45,95,140
sub07,EP18_03,85,97,182
sub08,EP12_07f,92,351,443
sub08,EP12_08f,99,186,285
sub08,EP13_01f,77,384,461
sub09,EP02_01f,70,25,95
sub09,EP05_02,130,141,271
sub09,EP05_03,65,214,279
sub09,EP05_05,50,119,169
sub09,EP06_01f,120,268,388
sub09,EP06_02f,95,106,201
sub09,EP09_04,120,100,220
sub09,EP09_05,85,84,169
sub09,EP09f,60,30,90
sub09,EP13_01,90,71,161
sub09,EP13_02,60,165,225
sub09,EP15_05,55,145,200
sub09,EP17_08,70,59,129
sub09,EP18_03,70,48,118
sub10,EP06_01f,90,67,157
sub10,EP08_01f,65,138,203
sub10,EP10_01f,60,134,194
sub10,EP11_01,70,69,139
sub10,EP11_01f,55,42,97
sub10,EP12_02f,60,58,118
sub10,EP12_03f,85,35,120
sub10,EP12_04,85,70,155
sub10,EP13_01,65,59,124
sub10,EP13_02f,90,66,156
sub10,EP13_03f,65,87,152
sub10,EP16_02f,89,43,132
sub10,EP18_01f,62,59,121
sub10,EP19_04f,45,107,152
sub11,EP02_06f,45,91,136
sub11,EP08_01f,50,110,160
sub11,EP12_03f,94,181,275
sub11,EP13_02f,90,64,154
sub11,EP13_03f,75,95,170
sub11,EP13_05f,95,81,176
sub11,EP15_01f,55,155,210
sub11,EP15_04f,35,150,185
sub11,EP18_03f,75,279,354
sub11,EP19_03f,140,54,194
sub12,EP01_02,75,241,316
sub12,EP02_05,99,168,267
sub12,EP03_02,65,78,143
sub12,EP03_04,96,132,228
sub12,EP04_16,99,189,288
sub12,EP06_06,75,116,191
sub12,EP08_01,60,192,252
sub12,EP08_03,80,247,327
sub12,EP08_07,75,264,339
sub12,EP09_02,85,124,209
sub12,EP09_06,45,188,233
sub12,EP16_02,90,321,411
sub13,EP01_01,55,169,224
sub13,EP01_02,40,92,132
sub13,EP02_02,57,35,92
sub13,EP02_03,40,71,111
sub13,EP03_01,80,52,132
sub13,EP08_01,52,111,163
sub13,EP09_10,75,147,222
sub13,EP12_01,55,42,97
sub14,EP04_04f,75,14,89
sub14,EP09_03,35,16,51
sub14,EP09_04,85,61,146
sub14,EP09_06,80,14,94
sub15,EP03_02,60,29,89
sub15,EP04_02,90,92,182
sub15,EP08_02,57,52,109
sub16,EP01_05,90,66,156
sub16,EP01_08,37,182,219
sub16,EP01_09f,112,84,196
sub16,EP04_02f,90,559,649
sub17,EP01_06,40,159,199
sub17,EP01_13,90,264,354
sub17,EP01_15,40,183,223
sub17,EP02_01,45,251,296
sub17,EP02_03,50,306,356
sub17,EP02_11,49,419,468
sub17,EP02_18f,90,213,303
