Subject,Number,Label
S4,0,0
S4,1,0
S4,2,0
S4,3,0
S4,4,0
S4,5,0
S4,6,0
S4,7,0
S4,8,1
S4,9,1
S4,10,1
S4,11,1
S4,12,1
S4,13,1
S4,14,1
S4,15,1
S4,16,1
S4,17,0
S4,18,0
S4,19,0
S4,20,1
S4,21,1
S4,22,1
S4,23,1
S4,24,1
S4,25,1
S4,26,1
S4,27,1
S4,28,1
S4,29,0
S4,30,0
S4,31,0
S4,32,1
S4,33,1
S4,34,1
S4,35,1
S4,36,1
S4,37,1
S4,38,1
S4,39,1
S4,40,1
S4,41,0
S4,42,0
S4,43,0
S4,44,0
S4,45,0
S4,46,0
S4,47,0
S4,48,0
S4,49,0
S4,50,0
S4,51,0
S4,52,1
S4,53,1
S4,54,1
S4,55,1
S4,56,1
S4,57,1
S4,58,1
S4,59,1
S4,60,1
S4,61,1
S4,62,1
S4,63,1
S4,64,1
S4,65,1
S4,66,1
S4,67,1
S4,68,1
S4,69,0
S4,70,0
S4,71,0
S4,72,1
S4,73,1
S4,74,1
S4,75,1
S4,76,1
S4,77,1
S4,78,1
S4,79,1
S4,80,1
S4,81,0
S4,82,0
S4,83,0
S4,84,0
S4,85,0
S4,86,0
S4,87,0
S4,88,0
S4,89,0
S4,90,0
S4,91,0
S4,92,0
S4,93,0
S4,94,0
S4,95,0
S4,96,0
S4,97,0
S4,98,0
S4,99,0
S4,100,1
S4,101,1
S4,102,1
S4,103,1
S4,104,1
S4,105,1
S4,106,1
S4,107,1
S4,108,1
S4,109,0
S4,110,0
S4,111,0
S4,112,0
S4,113,0
S4,114,0
S4,115,0
S4,116,0
S4,117,0
S4,118,0
S4,119,0
S4,120,1
S4,121,1
S4,122,1
S4,123,1
S4,124,1
S4,125,1
S4,126,1
S4,127,1
S4,128,1
S4,129,1
S4,130,1
S4,131,1
S4,132,1
S4,133,1
S4,134,1
S4,135,1
S4,136,1
S4,137,0
S4,138,0
S4,139,0
S4,140,1
S4,141,1
S4,142,1
S4,143,1
S4,144,1
S4,145,1
S4,146,1
S4,147,1
S4,148,1
S4,149,1
S4,150,1
S4,151,1
S4,152,1
S4,153,1
S4,154,1
S4,155,1
S4,156,1
S4,157,0
S4,158,0
S4,159,0
S4,160,1
S4,161,1
S4,162,1
S4,163,1
S4,164,1
S4,165,1
S4,166,1
S4,167,1
S4,168,1
S4,169,1
S4,170,1
S4,171,1
S4,172,1
S4,173,1
S4,174,1
S4,175,1
S4,176,1
S4,177,1
S4,178,1
S4,179,1
S4,180,1
S4,181,0
S4,182,0
S4,183,0
S4,184,1
S4,185,1
S4,186,1
S4,187,1
S4,188,1
