1, 12, FP, Outside, 106, 145
13, 24, FP, Outside, 106, 145
25, 36, FP, Outside, 106, 145
37, 48, FP, Outside, 106, 145
49, 60, FP, Outside, 106, 145
61, 72, FP, Outside, 106, 145
73, 84, FP, Outside, 106, 145
85, 96, FP, Outside, 106, 145
97, 108, FP, Left Side, 106, 145
109, 120, TP, Inside, 106, 145
121, 132, TP, Inside, 106, 145
133, 144, TP, Inside, 106, 145
145, 156, FP, Outside, 106, 145
157, 168, FP, Outside, 106, 145
169, 180, FP, Outside, 106, 145
181, 192, FP, Outside, 106, 145
193, 204, FP, Outside, 106, 145
205, 216, FP, Outside, 106, 145
217, 228, FP, Outside, 106, 145
229, 240, FP, Outside, 106, 145
241, 252, FP, Outside, 106, 145
253, 264, FP, Outside, 106, 145
265, 276, FP, Outside, 106, 145
277, 288, FP, Outside, 106, 145
289, 300, FP, Outside, 106, 145
301, 312, FP, Outside, 106, 145
313, 324, FP, Outside, 106, 145
325, 336, FP, Outside, 106, 145
337, 348, FP, Outside, 106, 145
349, 360, FP, Outside, 106, 145
361, 372, FP, Outside, 106, 145
373, 384, FP, Outside, 106, 145
385, 396, FP, Outside, 106, 145
397, 408, FP, Outside, 106, 145
409, 420, FP, Outside, 106, 145
421, 432, FP, Outside, 106, 145
433, 444, FP, Outside, 106, 145
445, 456, FP, Outside, 106, 145
457, 468, FP, Outside, 106, 145
469, 480, FP, Outside, 106, 145
481, 492, FP, Outside, 106, 145
493, 504, FP, Outside, 106, 145
505, 516, FP, Outside, 106, 145
517, 528, FP, Outside, 106, 145
529, 540, FP, Outside, 106, 145
541, 552, FP, Outside, 106, 145
553, 564, FP, Outside, 106, 145
565, 576, FP, Outside, 106, 145
577, 588, FP, Outside, 106, 145
589, 600, FP, Outside, 106, 145
601, 612, FP, Outside, 106, 145
613, 624, FP, Outside, 106, 145
625, 636, FP, Outside, 106, 145
637, 648, FP, Outside, 106, 145
649, 660, FP, Outside, 106, 145
661, 672, FP, Outside, 106, 145
673, 684, FP, Outside, 106, 145
685, 696, FP, Outside, 106, 145
697, 708, FP, Outside, 106, 145
709, 720, FP, Outside, 106, 145
721, 732, FP, Outside, 106, 145
733, 744, FP, Outside, 106, 145
745, 756, FP, Outside, 106, 145
757, 768, FP, Outside, 106, 145
769, 780, FP, Outside, 106, 145
781, 792, FP, Outside, 106, 145
793, 804, FP, Outside, 106, 145
805, 816, FP, Outside, 106, 145
817, 828, FP, Outside, 106, 145
829, 840, FP, Outside, 106, 145
841, 852, FP, Outside, 106, 145
853, 864, FP, Outside, 106, 145
865, 876, FP, Outside, 106, 145
877, 888, FP, Outside, 106, 145
889, 900, FP, Outside, 106, 145
901, 912, FP, Outside, 106, 145
913, 924, FP, Outside, 106, 145
925, 936, FP, Outside, 106, 145
937, 948, FP, Outside, 106, 145
949, 960, FP, Outside, 106, 145
961, 972, FP, Outside, 106, 145
973, 984, FP, Outside, 106, 145
985, 996, FP, Outside, 106, 145
997, 1008, FP, Outside, 106, 145
1009, 1020, FP, Outside, 106, 145
1021, 1032, FP, Outside, 106, 145
1033, 1044, FP, Outside, 106, 145
1045, 1056, FP, Outside, 106, 145
1057, 1068, FP, Outside, 106, 145
1069, 1080, FP, Outside, 106, 145
1081, 1092, FP, Outside, 106, 145
1093, 1104, FP, Outside, 106, 145
1105, 1116, FP, Outside, 106, 145
1117, 1128, FP, Outside, 106, 145
1129, 1140, FP, Outside, 106, 145
1141, 1152, TN, Outside, 106, 145
1153, 1164, FP, Outside, 106, 145
1165, 1176, FP, Outside, 106, 145
1177, 1188, FP, Outside, 106, 145
1189, 1200, FP, Outside, 106, 145
1201, 1212, FP, Outside, 106, 145
1213, 1224, FP, Outside, 106, 145
1225, 1236, TN, Outside, 106, 145
1237, 1248, TN, Outside, 106, 145
1249, 1260, TN, Outside, 106, 145
1261, 1272, FP, Outside, 106, 145
1273, 1284, FP, Outside, 106, 145
1285, 1296, FP, Outside, 106, 145
1297, 1308, FP, Outside, 106, 145
1309, 1320, TN, Outside, 106, 145
1321, 1332, TN, Outside, 106, 145
1333, 1344, FP, Outside, 106, 145
1345, 1356, FP, Outside, 106, 145
1357, 1368, FP, Outside, 106, 145
1369, 1380, FP, Outside, 106, 145
1381, 1392, FP, Outside, 106, 145
1393, 1404, FP, Outside, 106, 145
1405, 1416, FP, Outside, 106, 145
1417, 1428, TN, Outside, 106, 145
1429, 1440, TN, Outside, 106, 145
1441, 1452, FP, Outside, 106, 145
1453, 1464, FP, Outside, 106, 145
1465, 1476, FP, Outside, 106, 145
1477, 1488, FP, Outside, 106, 145
1489, 1500, FP, Outside, 106, 145
1501, 1512, TN, Outside, 106, 145
1513, 1524, FP, Outside, 106, 145
1525, 1536, FP, Outside, 106, 145
1537, 1548, FP, Outside, 106, 145
1549, 1560, FP, Outside, 106, 145
1561, 1572, FP, Outside, 106, 145
1573, 1584, FP, Outside, 106, 145
1585, 1596, FP, Outside, 106, 145
1597, 1608, FP, Outside, 106, 145
1609, 1620, FP, Outside, 106, 145
1621, 1632, FP, Outside, 106, 145
1633, 1644, FP, Outside, 106, 145
1645, 1656, FP, Outside, 106, 145
1657, 1668, FP, Outside, 106, 145
1669, 1680, FP, Outside, 106, 145
1681, 1692, FP, Outside, 106, 145
1693, 1704, FP, Outside, 106, 145
1705, 1716, FP, Outside, 106, 145
1717, 1728, FP, Outside, 106, 145
1729, 1740, FP, Outside, 106, 145
1741, 1752, FP, Outside, 106, 145
1753, 1764, FP, Outside, 106, 145
