1, 12, TN, Outside, 1289, 1310
13, 24, FP, Outside, 1289, 1310
25, 36, FP, Outside, 1289, 1310
37, 48, TN, Outside, 1289, 1310
49, 60, FP, Outside, 1289, 1310
61, 72, FP, Outside, 1289, 1310
73, 84, TN, Outside, 1289, 1310
85, 96, TN, Outside, 1289, 1310
97, 108, TN, Outside, 1289, 1310
109, 120, TN, Outside, 1289, 1310
121, 132, TN, Outside, 1289, 1310
133, 144, FP, Outside, 1289, 1310
145, 156, TN, Outside, 1289, 1310
157, 168, TN, Outside, 1289, 1310
169, 180, FP, Outside, 1289, 1310
181, 192, TN, Outside, 1289, 1310
193, 204, TN, Outside, 1289, 1310
205, 216, TN, Outside, 1289, 1310
217, 228, FP, Outside, 1289, 1310
229, 240, FP, Outside, 1289, 1310
241, 252, TN, Outside, 1289, 1310
253, 264, TN, Outside, 1289, 1310
265, 276, TN, Outside, 1289, 1310
277, 288, TN, Outside, 1289, 1310
289, 300, TN, Outside, 1289, 1310
301, 312, TN, Outside, 1289, 1310
313, 324, TN, Outside, 1289, 1310
325, 336, TN, Outside, 1289, 1310
337, 348, TN, Outside, 1289, 1310
349, 360, TN, Outside, 1289, 1310
361, 372, TN, Outside, 1289, 1310
373, 384, TN, Outside, 1289, 1310
385, 396, TN, Outside, 1289, 1310
397, 408, TN, Outside, 1289, 1310
409, 420, TN, Outside, 1289, 1310
421, 432, TN, Outside, 1289, 1310
433, 444, TN, Outside, 1289, 1310
445, 456, TN, Outside, 1289, 1310
457, 468, TN, Outside, 1289, 1310
469, 480, TN, Outside, 1289, 1310
481, 492, TN, Outside, 1289, 1310
493, 504, TN, Outside, 1289, 1310
505, 516, TN, Outside, 1289, 1310
517, 528, TN, Outside, 1289, 1310
529, 540, TN, Outside, 1289, 1310
541, 552, TN, Outside, 1289, 1310
553, 564, TN, Outside, 1289, 1310
565, 576, TN, Outside, 1289, 1310
577, 588, TN, Outside, 1289, 1310
589, 600, TN, Outside, 1289, 1310
601, 612, TN, Outside, 1289, 1310
613, 624, TN, Outside, 1289, 1310
625, 636, TN, Outside, 1289, 1310
637, 648, TN, Outside, 1289, 1310
649, 660, TN, Outside, 1289, 1310
661, 672, TN, Outside, 1289, 1310
673, 684, TN, Outside, 1289, 1310
685, 696, TN, Outside, 1289, 1310
697, 708, FP, Outside, 1289, 1310
709, 720, TN, Outside, 1289, 1310
721, 732, TN, Outside, 1289, 1310
733, 744, TN, Outside, 1289, 1310
745, 756, TN, Outside, 1289, 1310
757, 768, TN, Outside, 1289, 1310
769, 780, TN, Outside, 1289, 1310
781, 792, TN, Outside, 1289, 1310
793, 804, TN, Outside, 1289, 1310
805, 816, TN, Outside, 1289, 1310
817, 828, TN, Outside, 1289, 1310
829, 840, TN, Outside, 1289, 1310
841, 852, TN, Outside, 1289, 1310
853, 864, TN, Outside, 1289, 1310
865, 876, TN, Outside, 1289, 1310
877, 888, TN, Outside, 1289, 1310
889, 900, TN, Outside, 1289, 1310
901, 912, TN, Outside, 1289, 1310
913, 924, TN, Outside, 1289, 1310
925, 936, TN, Outside, 1289, 1310
