1, 12, FP, Outside, 2229, 2269
13, 24, FP, Outside, 2229, 2269
25, 36, FP, Outside, 2229, 2269
37, 48, FP, Outside, 2229, 2269
49, 60, FP, Outside, 2229, 2269
61, 72, FP, Outside, 2229, 2269
73, 84, FP, Outside, 2229, 2269
85, 96, FP, Outside, 2229, 2269
97, 108, FP, Outside, 2229, 2269
109, 120, FP, Outside, 2229, 2269
121, 132, FP, Outside, 2229, 2269
133, 144, FP, Outside, 2229, 2269
145, 156, FP, Outside, 2229, 2269
157, 168, FP, Outside, 2229, 2269
169, 180, FP, Outside, 2229, 2269
181, 192, FP, Outside, 2229, 2269
193, 204, FP, Outside, 2229, 2269
205, 216, FP, Outside, 2229, 2269
217, 228, FP, Outside, 2229, 2269
229, 240, FP, Outside, 2229, 2269
241, 252, FP, Outside, 2229, 2269
253, 264, FP, Outside, 2229, 2269
265, 276, FP, Outside, 2229, 2269
277, 288, FP, Outside, 2229, 2269
289, 300, FP, Outside, 2229, 2269
301, 312, FP, Outside, 2229, 2269
313, 324, FP, Outside, 2229, 2269
325, 336, FP, Outside, 2229, 2269
337, 348, FP, Outside, 2229, 2269
349, 360, FP, Outside, 2229, 2269
361, 372, FP, Outside, 2229, 2269
373, 384, FP, Outside, 2229, 2269
385, 396, FP, Outside, 2229, 2269
397, 408, FP, Outside, 2229, 2269
409, 420, FP, Left Side, 414, 423
421, 432, FP, Right Side, 414, 423
433, 444, FP, Outside, 2229, 2269
445, 456, FP, Outside, 2229, 2269
457, 468, FP, Outside, 2229, 2269
469, 480, FP, Outside, 2229, 2269
481, 492, FP, Outside, 2229, 2269
493, 504, FP, Outside, 2229, 2269
505, 516, FP, Outside, 2229, 2269
517, 528, FP, Outside, 2229, 2269
529, 540, FP, Outside, 2229, 2269
541, 552, FP, Outside, 2229, 2269
553, 564, FP, Outside, 2229, 2269
565, 576, FP, Outside, 2229, 2269
577, 588, FP, Outside, 2229, 2269
589, 600, FP, Outside, 2229, 2269
601, 612, FP, Outside, 2229, 2269
613, 624, FP, Outside, 2229, 2269
625, 636, FP, Outside, 2229, 2269
637, 648, FP, Outside, 2229, 2269
649, 660, FP, Outside, 2229, 2269
661, 672, FP, Outside, 2229, 2269
673, 684, FP, Outside, 2229, 2269
685, 696, FP, Outside, 2229, 2269
697, 708, FP, Outside, 2229, 2269
709, 720, FP, Outside, 2229, 2269
721, 732, TN, Outside, 2229, 2269
733, 744, FP, Outside, 2229, 2269
745, 756, TN, Outside, 2229, 2269
757, 768, FP, Outside, 2229, 2269
769, 780, FP, Outside, 2229, 2269
781, 792, FP, Outside, 2229, 2269
793, 804, FP, Outside, 2229, 2269
805, 816, FP, Outside, 2229, 2269
817, 828, FP, Outside, 2229, 2269
829, 840, FP, Outside, 2229, 2269
841, 852, FP, Outside, 2229, 2269
853, 864, FP, Outside, 2229, 2269
865, 876, FP, Outside, 2229, 2269
877, 888, FP, Outside, 2229, 2269
889, 900, FP, Outside, 2229, 2269
901, 912, FP, Outside, 2229, 2269
913, 924, FP, Outside, 2229, 2269
925, 936, FP, Outside, 2229, 2269
937, 948, FP, Outside, 2229, 2269
949, 960, FP, Outside, 2229, 2269
961, 972, FP, Outside, 2229, 2269
973, 984, FP, Outside, 2229, 2269
985, 996, FP, Outside, 2229, 2269
997, 1008, TN, Outside, 2229, 2269
1009, 1020, FP, Outside, 2229, 2269
1021, 1032, FP, Outside, 2229, 2269
1033, 1044, FP, Outside, 2229, 2269
1045, 1056, FP, Outside, 2229, 2269
1057, 1068, FP, Outside, 2229, 2269
1069, 1080, FP, Outside, 2229, 2269
1081, 1092, FP, Outside, 2229, 2269
1093, 1104, FP, Outside, 2229, 2269
1105, 1116, FP, Outside, 2229, 2269
1117, 1128, FP, Outside, 2229, 2269
1129, 1140, FP, Outside, 2229, 2269
1141, 1152, FP, Outside, 2229, 2269
1153, 1164, FP, Outside, 2229, 2269
1165, 1176, TP, Left Side, 1167, 1182
1177, 1188, FP, Right Side, 1167, 1182
1189, 1200, FP, Outside, 2229, 2269
1201, 1212, FP, Outside, 2229, 2269
1213, 1224, FP, Outside, 2229, 2269
1225, 1236, FP, Outside, 2229, 2269
1237, 1248, FP, Outside, 2229, 2269
1249, 1260, FP, Outside, 2229, 2269
1261, 1272, FP, Outside, 2229, 2269
1273, 1284, FP, Outside, 2229, 2269
1285, 1296, FP, Outside, 2229, 2269
1297, 1308, FP, Outside, 2229, 2269
1309, 1320, FP, Outside, 2229, 2269
1321, 1332, FP, Outside, 2229, 2269
1333, 1344, FP, Outside, 2229, 2269
1345, 1356, FP, Outside, 2229, 2269
1357, 1368, FP, Outside, 2229, 2269
1369, 1380, FP, Outside, 2229, 2269
1381, 1392, FP, Outside, 2229, 2269
1393, 1404, FP, Outside, 2229, 2269
1405, 1416, FP, Outside, 2229, 2269
1417, 1428, FP, Outside, 2229, 2269
1429, 1440, FP, Outside, 2229, 2269
1441, 1452, FP, Outside, 2229, 2269
1453, 1464, FP, Outside, 2229, 2269
1465, 1476, TP, Left Side, 1468, 1509
1477, 1488, TP, Inside, 1468, 1509
1489, 1500, TP, Inside, 1468, 1509
1501, 1512, TP, Right Side, 1468, 1509
1501, 1512, FP, Left Side, 1511, 1541
1513, 1524, TP, Inside, 1511, 1541
1525, 1536, TP, Inside, 1511, 1541
1537, 1548, FP, Right Side, 1511, 1541
1549, 1560, FP, Outside, 2229, 2269
1561, 1572, FP, Outside, 2229, 2269
1573, 1584, FP, Outside, 2229, 2269
1585, 1596, FP, Outside, 2229, 2269
1597, 1608, FP, Outside, 2229, 2269
1609, 1620, FP, Outside, 2229, 2269
1621, 1632, FP, Outside, 2229, 2269
1633, 1644, FP, Outside, 2229, 2269
1645, 1656, FP, Outside, 2229, 2269
1657, 1668, FP, Outside, 2229, 2269
1669, 1680, TN, Outside, 2229, 2269
1681, 1692, TN, Outside, 2229, 2269
1693, 1704, TN, Outside, 2229, 2269
1705, 1716, TN, Outside, 2229, 2269
1717, 1728, TN, Outside, 2229, 2269
1729, 1740, TN, Outside, 2229, 2269
1741, 1752, TN, Outside, 2229, 2269
1753, 1764, TN, Outside, 2229, 2269
1765, 1776, TN, Outside, 2229, 2269
1777, 1788, FP, Outside, 2229, 2269
1789, 1800, TN, Outside, 2229, 2269
1801, 1812, TN, Outside, 2229, 2269
1813, 1824, TN, Outside, 2229, 2269
1825, 1836, TN, Outside, 2229, 2269
1837, 1848, TN, Outside, 2229, 2269
1849, 1860, FP, Outside, 2229, 2269
1861, 1872, TN, Outside, 2229, 2269
1873, 1884, TN, Outside, 2229, 2269
1885, 1896, TN, Outside, 2229, 2269
1897, 1908, TN, Outside, 2229, 2269
1909, 1920, TN, Outside, 2229, 2269
1921, 1932, TN, Outside, 2229, 2269
1933, 1944, TN, Left Side, 1941, 1974
1945, 1956, FN, Inside, 1941, 1974
1957, 1968, TP, Inside, 1941, 1974
1969, 1980, FP, Right Side, 1941, 1974
