1, 12, FP, Outside, 2688, 2752
13, 24, FP, Outside, 2688, 2752
25, 36, FP, Outside, 2688, 2752
37, 48, FP, Outside, 2688, 2752
49, 60, FP, Outside, 2688, 2752
61, 72, FP, Outside, 2688, 2752
73, 84, FP, Outside, 2688, 2752
85, 96, FP, Outside, 2688, 2752
97, 108, FP, Outside, 2688, 2752
109, 120, TN, Outside, 2688, 2752
121, 132, FP, Outside, 2688, 2752
133, 144, TN, Outside, 2688, 2752
145, 156, TN, Outside, 2688, 2752
157, 168, TN, Outside, 2688, 2752
169, 180, TN, Outside, 2688, 2752
181, 192, TN, Outside, 2688, 2752
193, 204, TN, Outside, 2688, 2752
205, 216, TN, Outside, 2688, 2752
217, 228, TN, Outside, 2688, 2752
229, 240, TN, Outside, 2688, 2752
241, 252, TN, Outside, 2688, 2752
253, 264, TN, Outside, 2688, 2752
265, 276, TN, Outside, 2688, 2752
277, 288, TN, Outside, 2688, 2752
289, 300, TN, Outside, 2688, 2752
301, 312, TN, Outside, 2688, 2752
313, 324, TN, Outside, 2688, 2752
325, 336, TN, Outside, 2688, 2752
337, 348, TN, Outside, 2688, 2752
349, 360, TN, Outside, 2688, 2752
361, 372, TN, Outside, 2688, 2752
373, 384, TN, Outside, 2688, 2752
385, 396, TN, Outside, 2688, 2752
397, 408, TN, Outside, 2688, 2752
409, 420, TN, Outside, 2688, 2752
421, 432, TN, Outside, 2688, 2752
433, 444, TN, Outside, 2688, 2752
445, 456, TN, Outside, 2688, 2752
457, 468, TN, Outside, 2688, 2752
469, 480, TN, Outside, 2688, 2752
481, 492, TN, Outside, 2688, 2752
493, 504, TN, Outside, 2688, 2752
505, 516, TN, Outside, 2688, 2752
517, 528, TN, Outside, 2688, 2752
529, 540, TN, Outside, 2688, 2752
541, 552, TN, Outside, 2688, 2752
553, 564, TN, Outside, 2688, 2752
565, 576, TN, Outside, 2688, 2752
577, 588, TN, Outside, 2688, 2752
589, 600, TN, Outside, 2688, 2752
601, 612, TN, Outside, 2688, 2752
613, 624, TN, Outside, 2688, 2752
625, 636, TN, Outside, 2688, 2752
637, 648, TN, Outside, 2688, 2752
649, 660, TN, Outside, 2688, 2752
661, 672, TN, Outside, 2688, 2752
673, 684, TN, Outside, 2688, 2752
685, 696, TN, Outside, 2688, 2752
697, 708, TN, Outside, 2688, 2752
709, 720, TN, Outside, 2688, 2752
721, 732, TN, Outside, 2688, 2752
733, 744, TN, Outside, 2688, 2752
745, 756, TN, Outside, 2688, 2752
757, 768, TN, Outside, 2688, 2752
769, 780, TN, Outside, 2688, 2752
781, 792, TN, Outside, 2688, 2752
793, 804, TN, Outside, 2688, 2752
805, 816, TN, Outside, 2688, 2752
817, 828, TN, Outside, 2688, 2752
829, 840, TN, Outside, 2688, 2752
841, 852, TN, Left Side, 846, 861
853, 864, FN, Right Side, 846, 861
865, 876, TN, Outside, 2688, 2752
