1, 12, TN, Outside, 592, 613
13, 24, TN, Outside, 592, 613
25, 36, TN, Outside, 592, 613
37, 48, TN, Outside, 592, 613
49, 60, TN, Outside, 592, 613
61, 72, TN, Outside, 592, 613
73, 84, TN, Outside, 592, 613
85, 96, FP, Outside, 592, 613
97, 108, TN, Outside, 592, 613
109, 120, TN, Outside, 592, 613
121, 132, TN, Outside, 592, 613
133, 144, TN, Outside, 592, 613
145, 156, TN, Outside, 592, 613
157, 168, TN, Outside, 592, 613
169, 180, TN, Outside, 592, 613
181, 192, TN, Outside, 592, 613
193, 204, TN, Outside, 592, 613
205, 216, TN, Outside, 592, 613
217, 228, TN, Outside, 592, 613
229, 240, TN, Outside, 592, 613
241, 252, TN, Outside, 592, 613
253, 264, TN, Outside, 592, 613
265, 276, TN, Outside, 592, 613
277, 288, TN, Outside, 592, 613
289, 300, TN, Outside, 592, 613
301, 312, TN, Outside, 592, 613
313, 324, TN, Outside, 592, 613
325, 336, TN, Outside, 592, 613
337, 348, TN, Outside, 592, 613
349, 360, TN, Outside, 592, 613
361, 372, TN, Outside, 592, 613
373, 384, TN, Outside, 592, 613
385, 396, FP, Left Side, 392, 415
397, 408, TP, Inside, 392, 415
409, 420, FP, Right Side, 392, 415
421, 432, FP, Outside, 592, 613
433, 444, TN, Outside, 592, 613
445, 456, TN, Outside, 592, 613
457, 468, TN, Outside, 592, 613
469, 480, TN, Outside, 592, 613
481, 492, TN, Outside, 592, 613
493, 504, TN, Outside, 592, 613
505, 516, TN, Outside, 592, 613
517, 528, TN, Outside, 592, 613
529, 540, TN, Outside, 592, 613
541, 552, TN, Outside, 592, 613
553, 564, TN, Outside, 592, 613
565, 576, TN, Outside, 592, 613
577, 588, TN, Outside, 592, 613
589, 600, FN, Left Side, 592, 613
601, 612, FN, Inside, 592, 613
613, 624, TN, Outside, 592, 613
625, 636, TN, Outside, 592, 613
637, 648, TN, Outside, 592, 613
649, 660, TN, Outside, 592, 613
661, 672, TN, Outside, 592, 613
673, 684, TN, Outside, 592, 613
685, 696, TN, Outside, 592, 613
697, 708, TN, Outside, 592, 613
709, 720, TN, Outside, 592, 613
721, 732, TN, Outside, 592, 613
733, 744, TN, Outside, 592, 613
745, 756, TN, Outside, 592, 613
757, 768, TN, Outside, 592, 613
769, 780, TN, Outside, 592, 613
781, 792, TN, Outside, 592, 613
793, 804, TN, Outside, 592, 613
805, 816, TN, Outside, 592, 613
817, 828, TN, Outside, 592, 613
829, 840, TN, Outside, 592, 613
841, 852, TN, Outside, 592, 613
853, 864, TN, Outside, 592, 613
865, 876, TN, Outside, 592, 613
877, 888, TN, Outside, 592, 613
889, 900, TN, Outside, 592, 613
901, 912, TN, Outside, 592, 613
913, 924, TN, Outside, 592, 613
925, 936, TN, Outside, 592, 613
937, 948, TN, Outside, 592, 613
949, 960, TN, Outside, 592, 613
961, 972, TN, Outside, 592, 613
973, 984, TN, Outside, 592, 613
985, 996, TN, Outside, 592, 613
997, 1008, TN, Outside, 592, 613
1009, 1020, TN, Outside, 592, 613
1021, 1032, TN, Outside, 592, 613
1033, 1044, TN, Outside, 592, 613
1045, 1056, TN, Outside, 592, 613
1057, 1068, TN, Outside, 592, 613
1069, 1080, TN, Outside, 592, 613
1081, 1092, TN, Outside, 592, 613
1093, 1104, TN, Outside, 592, 613
1105, 1116, TN, Outside, 592, 613
1117, 1128, TN, Outside, 592, 613
1129, 1140, TN, Outside, 592, 613
1141, 1152, TN, Outside, 592, 613
1153, 1164, TN, Outside, 592, 613
1165, 1176, TN, Outside, 592, 613
1177, 1188, TN, Outside, 592, 613
1189, 1200, TN, Outside, 592, 613
1201, 1212, TN, Outside, 592, 613
1213, 1224, TN, Outside, 592, 613
1225, 1236, TN, Outside, 592, 613
1237, 1248, TN, Outside, 592, 613
1249, 1260, TN, Outside, 592, 613
1261, 1272, TN, Outside, 592, 613
1273, 1284, FP, Outside, 592, 613
1285, 1296, TN, Outside, 592, 613
1297, 1308, TN, Outside, 592, 613
1309, 1320, TN, Outside, 592, 613
1321, 1332, TN, Outside, 592, 613
1333, 1344, TN, Outside, 592, 613
1345, 1356, TN, Outside, 592, 613
1357, 1368, TN, Outside, 592, 613
1369, 1380, TN, Outside, 592, 613
1381, 1392, TN, Outside, 592, 613
1393, 1404, TN, Outside, 592, 613
1405, 1416, TN, Outside, 592, 613
1417, 1428, TN, Outside, 592, 613
1429, 1440, TN, Outside, 592, 613
1441, 1452, TN, Outside, 592, 613
1453, 1464, TN, Outside, 592, 613
1465, 1476, TN, Outside, 592, 613
1477, 1488, TN, Outside, 592, 613
1489, 1500, TN, Outside, 592, 613
1501, 1512, TN, Outside, 592, 613
1513, 1524, TN, Outside, 592, 613
1525, 1536, TN, Outside, 592, 613
1537, 1548, TN, Outside, 592, 613
1549, 1560, TN, Outside, 592, 613
1561, 1572, TN, Outside, 592, 613
1573, 1584, TN, Outside, 592, 613
1585, 1596, TN, Outside, 592, 613
1597, 1608, TN, Outside, 592, 613
1609, 1620, TN, Outside, 592, 613
1621, 1632, TN, Outside, 592, 613
1633, 1644, TN, Outside, 592, 613
1645, 1656, TN, Outside, 592, 613
1657, 1668, TN, Outside, 592, 613
1669, 1680, TN, Outside, 592, 613
1681, 1692, TN, Outside, 592, 613
1693, 1704, TN, Outside, 592, 613
1705, 1716, TN, Outside, 592, 613
1717, 1728, TN, Outside, 592, 613
1729, 1740, TN, Outside, 592, 613
1741, 1752, FP, Outside, 592, 613
1753, 1764, TN, Outside, 592, 613
1765, 1776, TN, Outside, 592, 613
1777, 1788, TN, Outside, 592, 613
1789, 1800, TN, Outside, 592, 613
1801, 1812, TN, Outside, 592, 613
1813, 1824, TN, Outside, 592, 613
1825, 1836, TN, Outside, 592, 613
1837, 1848, TN, Outside, 592, 613
1849, 1860, TN, Outside, 592, 613
1861, 1872, TN, Outside, 592, 613
1873, 1884, TN, Outside, 592, 613
1885, 1896, TN, Outside, 592, 613
1897, 1908, TN, Outside, 592, 613
1909, 1920, TN, Outside, 592, 613
1921, 1932, TN, Outside, 592, 613
1933, 1944, TN, Outside, 592, 613
1945, 1956, TN, Outside, 592, 613
1957, 1968, TN, Outside, 592, 613
1969, 1980, TN, Outside, 592, 613
1981, 1992, TN, Outside, 592, 613
1993, 2004, TN, Outside, 592, 613
2005, 2016, TN, Outside, 592, 613
2017, 2028, TN, Outside, 592, 613
2029, 2040, TN, Outside, 592, 613
2041, 2052, TN, Outside, 592, 613
2053, 2064, TN, Outside, 592, 613
2065, 2076, TN, Outside, 592, 613
2077, 2088, TN, Outside, 592, 613
2089, 2100, TN, Outside, 592, 613
2101, 2112, TN, Outside, 592, 613
2113, 2124, TN, Outside, 592, 613
2125, 2136, TN, Outside, 592, 613
2137, 2148, TN, Outside, 592, 613
2149, 2160, TN, Outside, 592, 613
2161, 2172, TN, Outside, 592, 613
2173, 2184, TN, Outside, 592, 613
2185, 2196, TN, Outside, 592, 613
2197, 2208, TN, Outside, 592, 613
2209, 2220, TN, Outside, 592, 613
2221, 2232, TN, Outside, 592, 613
2233, 2244, TN, Outside, 592, 613
2245, 2256, TN, Outside, 592, 613
2257, 2268, TN, Outside, 592, 613
2269, 2280, TN, Outside, 592, 613
