1,2,3,4,5,6,7,8,9,10,11,12,Label
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00000.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00001.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00002.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00003.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00004.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00005.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00006.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00007.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00008.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00009.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00010.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00011.jpg,3
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00020.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00021.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00022.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00023.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00024.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00025.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00026.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00027.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00028.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00029.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00030.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00031.jpg,1
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00032.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00033.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00034.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00035.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00036.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00037.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00038.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00039.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00040.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00041.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00042.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00043.jpg,1
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00051.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00052.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00053.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00054.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00055.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00056.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00057.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00058.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00059.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00060.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00061.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00062.jpg,3
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00074.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00075.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00076.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00077.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00078.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00079.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00080.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00081.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00082.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00083.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00084.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00085.jpg,1
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00090.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00091.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00092.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00093.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00094.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00095.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00096.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00097.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00098.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00099.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00100.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00101.jpg,3
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00102.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00103.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00104.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00105.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00106.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00107.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00108.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00109.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00110.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00111.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00112.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00113.jpg,3
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00117.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00118.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00119.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00120.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00121.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00122.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00123.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00124.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00125.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00126.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00127.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00128.jpg,1
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00129.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00130.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00131.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00132.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00133.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00134.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00135.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00136.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00137.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00138.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00139.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00140.jpg,1
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00141.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00142.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00143.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00144.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00145.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00146.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00147.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00148.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00149.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00150.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00151.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00152.jpg,1
