1,2,3,4,5,6,7,8,9,10,11,12,Negative,Positive
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00001.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00002.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00003.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00004.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00005.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00006.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00007.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00008.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00009.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00010.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00011.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00012.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00052.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00053.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00054.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00055.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00056.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00057.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00058.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00059.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00060.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00061.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00062.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00063.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00074.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00075.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00076.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00077.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00078.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00079.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00080.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00081.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00082.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00083.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00084.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00085.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00098.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00099.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00100.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00101.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00102.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00103.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00104.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00105.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00106.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00107.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00108.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00109.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00118.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00119.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00120.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00121.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00122.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00123.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00124.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00125.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00126.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00127.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00128.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00129.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00257.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00258.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00259.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00260.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00261.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00262.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00263.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00264.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00265.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00266.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00267.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00268.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00275.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00276.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00277.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00278.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00279.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00280.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00281.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00282.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00283.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00284.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00285.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00286.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00358.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00359.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00360.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00361.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00362.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00363.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00364.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00365.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00366.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00367.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00368.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00369.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00385.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00386.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00387.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00388.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00389.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00390.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00391.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00392.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00393.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00394.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00395.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00396.jpg,9,3
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00407.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00408.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00409.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00410.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00411.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00412.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00413.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00414.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00415.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00416.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00417.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00418.jpg,9,3
