1,2,3,4,5,6,7,8,9,10,11,12,Label
D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00020.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00021.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00022.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00023.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00024.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00025.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00026.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00027.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00028.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00029.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00030.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00031.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00032.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00033.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00034.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00035.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00036.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00037.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00038.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00039.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00040.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00041.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00042.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\1\img00043.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00622.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00623.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00624.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00625.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00626.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00627.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00628.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00629.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00630.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00631.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00632.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\10\img00633.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00663.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00664.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00665.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00666.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00667.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00668.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00669.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00670.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00671.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00672.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00673.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\11\img00674.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00680.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00681.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00682.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00683.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00684.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00685.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00686.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00687.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00688.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00689.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00690.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\12\img00691.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00798.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00799.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00800.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00801.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00802.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00803.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00804.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00805.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00806.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00807.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00808.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\13\img00809.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00870.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00871.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00872.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00873.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00874.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00875.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00876.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00877.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00878.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00879.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00880.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\14\img00881.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01025.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01026.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01027.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01028.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01029.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01030.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01031.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01032.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01033.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01034.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01035.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01036.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01037.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01038.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01039.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01040.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01041.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01042.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01043.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01044.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01045.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01046.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01047.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\15\img01048.jpg,1
D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01125.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01126.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01127.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01128.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01129.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01130.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01131.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01132.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01133.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01134.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01135.jpg,D:\Dataset Skripsi Batch Final Label\Positive\S1\16\img01136.jpg,1
